	Citrus Fire	RN17	Hliana	Rocky Hemp	Bialobrzeskie	Colorado Cherry	Stable Fire Cherry 308	CW x Harlequin Tsunami	USO-31 (A)	Cherry Wine (B)	Fibranova	Nebraska Feral x AC/DC	SS Alpha	Cherry Wine (C)	RN-13A (A)	Authentic Hemp	Bama	RN-13A (B)	FL70 S1	Tangerine (A)	Franklin	Kataini	Martha	X-59	Elektra (B)	Cascade OG	Grandi	URCBD 1	URCBD 7	Han-FH-Q	Oregon CBD	Illinois Feral	Sour Space Candy (B)	SC-1 x Logan	Brilliance (herm)	Otto II (B)	Keystone NY Feral	#5	Cherry (A)	Sterling Gold	Wojko	Anka	RN16	Cherry x Wulf	Cherry Wine (D)	Canda	URCBD 5	Ferimon	Rogue	Joey	18AB092701 (WI)	RNF	Sisters F1	Eletta Campana	Lifter (B)	Pewter River	A2R4 x AC/DC	Earlina 8	Yuma	Elektra 1	Cherry Wine x C	Dead Lights	SC-1	Cobbler	CRS-1	R4 x Wife x Hemp	Otto II (A)	Han-Cold	Brilliance	KG9201	Han-FN-H	Pineberry	Carmagnola Selezionata	Special Sauce (B)	Berry Blossom	Oregon Bush	BaOx (C)	Cherry x 5	Si-1	Wild Horse	Tangerine (C)	TJ's CBD S1 (female)	Vermont Sauce	18AB092101 (WI)	Cherry Wine (standard)	Han-NE	AC/DC x Otto II (A)	Bish Feral	Tangerine (B)	Anka x Logan	Cherry (B)	Nebraska Feral	18AB092801 (WI)	Wolf	Berry Blossom (standard)	Carmagnola	Lifter (A)	FL70	TJ's CBD (B)	A2R4	Hawaiian Haze (B)	TJs CBD S1 (male)	Super Cherry F2	Fermion	FL80	RN19	Victoria	18AB092702 (WI)	RNA Auto	Logan 20	Cherry Wine (A)	Fedora 17	18AB101101 (WI)	Cherry 5	Cherry 308	Cherry x BaOx	Cherry Wine (dwarf)	Sour Space Candy (A)	NWG 331	Hass Hemp	Tygra	FL49	XYZ	Puma	Futura 75	CFX-1	Deschutes	Swift	Picolo	Hawaiian Haze (A)	Marten's Kashong	T-2 (B)	Special Sauce (C)	TJ's CBD (A)	Late Sue (B)	Sisters F2	Hlukhivskii-51	Magic Bullet	CBDawg	FL58	Umpqua	AC/DC x Otto II (B)	VT Cherry	Double Cherries (B)	Green Mountain	FL71	18AB100501 (WI)	Box Wine	Cherry x A	Stout	Cherry x 2	BaOx (A)	NWG Elite	Fresh Start	USO-31 (B)	URCBD 4	AC/DC	A2R4 x Nebraska Feral	NY Cherry	Double Cherries (A)	Elektra (A)	Sour Tsunami	FL71 S1	Cherry 307	Berry Blossom (dwarf)	NY Feral 2019	BaOx (B)	Portugal	Georgina	Hlesia	Suver Haze	KG9202	Cascade	T-1 (B)	ABC	T-2 (A)	URCBD 6	Helena	URCBD 3	Han-NW	Cherry (C)	Felina 32	CFX-2	Special Sauce (A)	URCBD 2	Young Slim	T-1 (A)	Late Sue (A)	AC/DC x Otto II (C)	Dell Riley Field
Eletta Campana	0.32449353	0.31895015	0.31393403	0.29621497	0.31172454	0.31866968	0.32935184	0.3170388	0.3162269	0.31265068	0.2817369	0.3205251	0.2993688	0.31431985	0.33052346	0.31956458	0.30120367	0.33031774	0.32705003	0.3304512	0.3335795	0.3185654	0.28663722	0.3169438	0.32422766	0.32097998	0.31730792	0.32243943	0.31043482	0.29272518	0.3301679	0.30435532	0.32046017	0.30164313	0.3225852	0.33034497	0.30356622	0.30967173	0.33153173	0.30378777	0.30614382	0.30317426	0.3289848	0.319117	0.32332778	0.31067327	0.29500088	0.30840486	0.32423294	0.31090584	0.2901177	0.3240396	0.32583034	0	0.32169393	0.3016232	0.316188	0.31924465	0.3010233	0.31684276	0.32991824	0.31673095	0.3100952	0.31654283	0.30745175	0.3301913	0.32563165	0.3019056	0.31917837	0.3125894	0.3024708	0.32020774	0.26438737	0.32261318	0.32752973	0.32849842	0.32712728	0.30026606	0.30158174	0.31770748	0.32889843	0.31773776	0.33077517	0.30607596	0.3259464	0.2973903	0.31885535	0.30590367	0.3289193	0.29376823	0.29592717	0.3097179	0.30464885	0.29575902	0.3285402	0.2719747	0.31938	0.32130325	0.31897205	0.29974315	0.32506114	0.31695026	0.32377407	0.3108447	0.31744692	0.33188206	0.28537616	0.28713495	0.32359147	0.2985657	0.3213904	0.31568134	0.29431257	0.3293231	0.3262567	0.32102022	0.32935137	0.32289532	0.30409914	0.33417773	0.3029767	0.3187231	0.3353554	0.29887056	0.29136768	0.31372455	0.3169305	0.32366207	0.3152996	0.32475922	0.3172332	0.3290388	0.31427014	0.31912217	0.32909757	0.3268758	0.30272427	0.3337955	0.32495993	0.32062703	0.3184407	0.32850236	0.31610188	0.32468343	0.3222952	0.32298702	0.29404366	0.33284408	0.32004365	0.33447173	0.32034114	0.32555464	0.31465316	0.31224597	0.3146582	0.30943048	0.31343374	0.31950834	0.33153382	0.3339609	0.3235648	0.3148807	0.32921386	0.32030797	0.33073476	0.3176053	0.33078462	0.31811252	0.28558224	0.30846104	0.3231809	0.3193789	0.32231426	0.3295184	0.31720752	0.3315613	0.30092466	0.2932242	0.3067628	0.29828146	0.32407978	0.3050111	0.31083724	0.33166537	0.30936202	0.32285282	0.3262056	0.32829446	0.32683522	0.30850893
Lifter (B)	0.26427853	0.2754779	0.3533677	0.31879288	0.35395	0.2794848	0.2706323	0.25303066	0.35796577	0.30056682	0.32991347	0.3215544	0.31601498	0.25960335	0.27673867	0.26154143	0.312621	0.2945416	0.25713852	0.28122494	0.3185828	0.35729933	0.32999405	0.3502891	0.22189999	0.25801998	0.3548929	0.26745668	0.3459543	0.3148525	0.29643703	0.35221273	0.23747799	0.33121037	0.2708284	0.29231834	0.33051664	0.35059324	0.29793477	0.32907933	0.35366362	0.33985117	0.28898615	0.26668978	0.2768771	0.35366052	0.3321483	0.3548413	0.28254637	0.34693825	0.33554003	0.28127939	0.27129108	0.32169393	0	0.32483074	0.33732736	0.36693996	0.31268698	0.22174984	0.2742365	0.25319782	0.32648462	0.27039582	0.35092664	0.3070261	0.2837926	0.3119083	0.29071814	0.2815867	0.3252768	0.23797539	0.32691026	0.24842547	0.26498502	0.28380555	0.28586924	0.33218554	0.3097599	0.3220267	0.27970067	0.3011867	0.27252966	0.34228003	0.2560197	0.3095022	0.29607004	0.34213856	0.2792632	0.342686	0.3242066	0.34455448	0.34697354	0.3325024	0.26484418	0.33367497	0.21856597	0.2610816	0.28708932	0.31611097	0.22123523	0.31969836	0.2589896	0.35885918	0.27364537	0.26997322	0.33673415	0.33328378	0.23395447	0.34573978	0.24836051	0.35707644	0.3386275	0.25283074	0.28227103	0.26924565	0.25989643	0.22439966	0.34190702	0.2765082	0.34609398	0.2672034	0.28840017	0.3128307	0.34608263	0.35720342	0.2727926	0.36485335	0.35660332	0.21969658	0.354013	0.27268407	0.27815947	0.28779677	0.3212777	0.26571736	0.35494718	0.29995692	0.26906943	0.25744793	0.27373952	0.26803088	0.27731058	0.27754793	0.30956373	0.26454684	0.3363574	0.30334973	0.25618738	0.2767309	0.31994048	0.28436685	0.3497747	0.24475294	0.35543105	0.30189678	0.31400558	0.3225903	0.28603423	0.27773696	0.22155538	0.26214027	0.2562126	0.24963711	0.28809044	0.29138246	0.30815107	0.35424715	0.32667473	0.35451928	0.2136436	0.26271072	0.27564943	0.280609	0.22964577	0.28266305	0.28836447	0.34526232	0.26742926	0.3160974	0.32621625	0.35079396	0.35236537	0.302386	0.2582354	0.2994562	0.29124328	0.32289007	0.28906545	0.35128143
Pewter River	0.3211689	0.31896532	0.33261845	0.27194682	0.33233228	0.323726	0.31999195	0.31824687	0.33408934	0.32721433	0.31273866	0.3146763	0.2682184	0.32216376	0.32417893	0.3203499	0.28379217	0.3272312	0.32066572	0.32021388	0.323184	0.32974845	0.3250533	0.32662976	0.31853303	0.31876194	0.33453932	0.32457712	0.30184448	0.26629055	0.32445583	0.3268032	0.31749028	0.3004544	0.32794023	0.32635406	0.32576153	0.30833274	0.32103	0.29319647	0.33317462	0.33019942	0.31848451	0.31942022	0.32214415	0.33449784	0.3063472	0.3369032	0.31904402	0.32698226	0.32138482	0.32688966	0.31821498	0.3016232	0.32483074	0	0.30746543	0.3371145	0.27898437	0.32153833	0.32264298	0.32241642	0.26625958	0.31974706	0.32791063	0.3226652	0.3192219	0.2822066	0.32561788	0.31189454	0.29130945	0.32144174	0.32304564	0.31695333	0.3212807	0.32225135	0.3162806	0.29238227	0.28004906	0.31855184	0.3175392	0.3075243	0.3260503	0.32311723	0.32135263	0.26665688	0.31919584	0.31696674	0.31696013	0.3319761	0.31576958	0.32339767	0.3205791	0.31628823	0.31891403	0.3221431	0.3184779	0.3218095	0.3097346	0.31893393	0.31959954	0.3239425	0.3202388	0.33102342	0.31870782	0.32169005	0.3218847	0.32254335	0.32369235	0.32765013	0.32151467	0.331909	0.32252607	0.3213191	0.3180979	0.32684508	0.31885326	0.32333872	0.32607883	0.32905918	0.3273274	0.31882843	0.31582877	0.28337678	0.32825276	0.32757935	0.31405097	0.33529902	0.3356476	0.32233667	0.33821562	0.32070166	0.30052415	0.31201926	0.32496732	0.32375485	0.33272892	0.3291565	0.324235	0.3193559	0.31383315	0.32363337	0.30836207	0.32352665	0.32101965	0.3210698	0.32491946	0.3219521	0.31875813	0.3247399	0.33132294	0.3280953	0.3185246	0.3203731	0.33204114	0.27469105	0.2967441	0.31281614	0.32443073	0.32412916	0.32342833	0.3257572	0.3192892	0.32399803	0.3196215	0.30057567	0.32019395	0.33885315	0.3229977	0.32679477	0.31964433	0.31946373	0.3144943	0.31703886	0.31901297	0.31644693	0.31320348	0.32698774	0.29356614	0.26444894	0.32284757	0.33160666	0.32964936	0.319214	0.3023864	0.32216534	0.31294644	0.32455945	0.32337934	0.33103576
A2R4 x AC/DC	0.33662552	0.32451218	0.31348267	0.32061675	0.32132304	0.31488335	0.31060377	0.3286422	0.30977923	0.31854787	0.3149187	0.2826845	0.31314966	0.32729816	0.34848407	0.3346011	0.30646232	0.3539608	0.33213943	0.31517148	0.32791594	0.32701823	0.2950826	0.32444903	0.3330387	0.34033275	0.31027865	0.34095627	0.316785	0.30316103	0.3290613	0.29605383	0.3379109	0.2834573	0.3339242	0.3488707	0.29075685	0.30662683	0.33179665	0.2478459	0.32882774	0.32969296	0.31933546	0.32521677	0.34447512	0.31104246	0.30148494	0.32066044	0.32092828	0.32660797	0.29124817	0.34253457	0.32735655	0.316188	0.33732736	0.30746543	0	0.30855107	0.30546063	0.33037215	0.33934993	0.3280077	0.29563472	0.3281124	0.30455932	0.33691856	0.34566793	0.30342022	0.3268054	0.31210065	0.3058501	0.33977208	0.31101006	0.3422975	0.34821564	0.34711793	0.31456706	0.32178617	0.30227026	0.2821786	0.30039334	0.31773296	0.3411658	0.271676	0.3185859	0.30580363	0.34670278	0.27384308	0.30058357	0.3057588	0.30734816	0.27859133	0.2734241	0.30607107	0.30599424	0.31301174	0.33358088	0.32943222	0.31868145	0.28910655	0.33606386	0.31991753	0.32561326	0.3243494	0.32290667	0.3293796	0.29602924	0.28776446	0.33801413	0.28483054	0.3444807	0.31114385	0.28009775	0.32791814	0.3336049	0.32594392	0.32489628	0.33850604	0.3135738	0.35196662	0.32016546	0.32641742	0.29299462	0.30572578	0.3004663	0.30908546	0.3098344	0.31750542	0.3266176	0.33505142	0.31003997	0.31641367	0.33235067	0.33295184	0.33483928	0.32551274	0.31747848	0.34933755	0.34619454	0.3283871	0.31138068	0.3264151	0.3268228	0.34801707	0.33321443	0.32879326	0.285589	0.3381307	0.33378643	0.33709532	0.32430708	0.32333386	0.319999	0.33291718	0.31055966	0.3009706	0.272681	0.2540244	0.33131617	0.3508607	0.33732945	0.3393255	0.33244738	0.3284603	0.33465165	0.30768937	0.3455225	0.32770744	0.28869963	0.31016105	0.3325263	0.3267664	0.32085058	0.31486958	0.33742422	0.30971146	0.33351493	0.30412292	0.33321813	0.29658112	0.34475634	0.32707328	0.30301082	0.34593448	0.33439475	0.33985165	0.3212845	0.3509668	0.3263467	0.324058
Earlina 8	0.3727641	0.34720287	0.26099432	0.34550926	0.25331748	0.3388786	0.34661227	0.36820307	0.25080165	0.3366759	0.30845028	0.3199113	0.3361067	0.35805002	0.37278774	0.37101588	0.33160597	0.3710933	0.3547527	0.37331262	0.35889512	0.25365818	0.28457826	0.26813918	0.36858195	0.3699073	0.2348885	0.37442788	0.29693833	0.32526827	0.35530803	0.25282475	0.3666851	0.30188847	0.33991343	0.3703562	0.28536052	0.2846054	0.36062154	0.31338987	0.24704047	0.2851946	0.35286903	0.34813404	0.37672555	0.25426307	0.29470477	0.24830428	0.3523506	0.27821165	0.289475	0.37110654	0.35173216	0.31924465	0.36693996	0.3371145	0.30855107	0	0.32913664	0.3634353	0.374403	0.3670225	0.33730486	0.35484257	0.25909984	0.3753368	0.36765856	0.3306837	0.3404421	0.3425474	0.31043455	0.3678582	0.30415738	0.36853388	0.37403548	0.37055343	0.35476583	0.30757958	0.3315864	0.32019734	0.3560357	0.351363	0.36437628	0.2818242	0.35862646	0.32818067	0.36038452	0.28672695	0.35690737	0.26697248	0.32313377	0.31409258	0.2912741	0.31868935	0.35826215	0.2949203	0.3662997	0.35253504	0.35226592	0.29916	0.37156257	0.3073885	0.35333598	0.25993192	0.35008943	0.35600623	0.28615192	0.29221442	0.36576653	0.27690357	0.36536285	0.25524318	0.27974623	0.36104232	0.35631612	0.3462838	0.359489	0.3648212	0.2800273	0.37639555	0.26575708	0.35331813	0.3684258	0.3329626	0.259534	0.24021465	0.34720612	0.24662551	0.25362146	0.37167627	0.23779127	0.37457266	0.36072794	0.36863706	0.35755762	0.35093975	0.26364976	0.38248533	0.36590055	0.35106716	0.34956828	0.35855842	0.36005306	0.36444885	0.34781092	0.35431048	0.28307825	0.3654027	0.36814463	0.36055425	0.30785853	0.35368642	0.2791227	0.36604398	0.25325918	0.32985914	0.33103612	0.32006246	0.3509672	0.37861633	0.36924112	0.34793794	0.357668	0.35704973	0.3520343	0.34209013	0.37201592	0.25208375	0.28560653	0.25221917	0.36953974	0.35075906	0.35324487	0.37223774	0.37021378	0.3589876	0.32992387	0.27214575	0.35302073	0.31978816	0.35803348	0.24347176	0.25110295	0.3707952	0.35996136	0.35994068	0.36954576	0.37014827	0.35569564	0.26156697
Yuma	0.30630907	0.3029886	0.32108784	0.28061292	0.3296325	0.30069783	0.30563	0.30717713	0.32058832	0.31959322	0.3094165	0.2970479	0.27806377	0.31381628	0.31599933	0.3140413	0.24508287	0.31378463	0.30117968	0.30719724	0.29818767	0.33690378	0.2997159	0.3303544	0.30983156	0.3101843	0.32387784	0.31183222	0.31360328	0.25404578	0.31004384	0.30920953	0.30636382	0.2912554	0.30488977	0.31040475	0.3100067	0.3170363	0.3220524	0.28230038	0.3328099	0.32876608	0.2937348	0.3134904	0.3109001	0.32067588	0.29113668	0.32390746	0.29468346	0.32926428	0.29836	0.3100502	0.2974338	0.3010233	0.31268698	0.27898437	0.30546063	0.32913664	0	0.31266904	0.30577523	0.31266308	0.28360543	0.31154862	0.31304792	0.311573	0.30823195	0.23729505	0.3047446	0.29061657	0.27331597	0.30901414	0.3138508	0.3096867	0.31212795	0.31438985	0.29638427	0.29681882	0.24041824	0.32513082	0.29412192	0.28572303	0.30902237	0.3137812	0.29604825	0.2599921	0.31019953	0.30502525	0.29231668	0.31321716	0.31382003	0.3228421	0.3108953	0.30392417	0.29703638	0.31216007	0.3090799	0.30102938	0.28883308	0.29692656	0.3055922	0.30649588	0.295684	0.330188	0.29659325	0.29495654	0.3011655	0.3006269	0.3088595	0.31281626	0.31456292	0.31749868	0.30540666	0.2968598	0.29658034	0.2970702	0.29644248	0.3104031	0.32166702	0.3154718	0.32934213	0.29733732	0.3157468	0.23720337	0.30998644	0.3225622	0.2913901	0.34555024	0.3357975	0.31332505	0.32753646	0.3072406	0.29735902	0.3026055	0.3007806	0.2982588	0.31859946	0.31706667	0.3103275	0.29736862	0.29154423	0.29699394	0.29789716	0.3169965	0.31186643	0.29776743	0.30303067	0.30784318	0.3134243	0.2984452	0.31067067	0.2976687	0.31965584	0.30776295	0.32246715	0.27691346	0.28680137	0.30113065	0.3005486	0.31287834	0.31292576	0.32041568	0.29792473	0.29934612	0.299394	0.28702748	0.31201178	0.340182	0.2984809	0.317432	0.30753323	0.29218638	0.29201344	0.30697653	0.3122828	0.2937541	0.3115904	0.3094434	0.29503784	0.25647536	0.3108997	0.33335796	0.31961644	0.31017953	0.29402503	0.31028762	0.3082143	0.31434923	0.2965043	0.33125445
Elektra 1	0.27391493	0.26575938	0.35530293	0.31934744	0.3499041	0.26648316	0.27076855	0.22870548	0.35118842	0.28750163	0.3234838	0.3229443	0.31468403	0.24254934	0.2774023	0.27419275	0.3127403	0.31305033	0.24736983	0.28366414	0.3291381	0.3532425	0.32120425	0.34928387	0.19623052	0.2666004	0.35251525	0.24599162	0.34866437	0.31102034	0.3015383	0.345193	0.23415871	0.32431173	0.29952443	0.30008078	0.33043432	0.34425	0.29338497	0.3256141	0.34977204	0.33822006	0.282835	0.26264858	0.24546881	0.34981266	0.33146635	0.35541824	0.26691476	0.3476823	0.32930374	0.2727582	0.27298266	0.31684276	0.22174984	0.32153833	0.33037215	0.3634353	0.31266904	0	0.23863134	0.21205013	0.32332373	0.2491706	0.346219	0.31118062	0.2755122	0.31154418	0.27997974	0.26264456	0.33018076	0.2315615	0.31825	0.23110852	0.26285467	0.26654333	0.30476865	0.32996598	0.3098677	0.31854507	0.28382516	0.28932583	0.27954012	0.33577845	0.23523308	0.31748983	0.304078	0.3389286	0.28278336	0.3377676	0.31377503	0.3386747	0.3429264	0.32809404	0.26504356	0.32644358	0.2035576	0.23465842	0.27670777	0.30661854	0.2149477	0.3110423	0.26708832	0.3560977	0.23478973	0.2698157	0.32821354	0.32629552	0.2225495	0.3364072	0.24520797	0.35593584	0.32883716	0.25418732	0.2634316	0.27753896	0.23012432	0.21003759	0.34178492	0.28506544	0.34215486	0.24491966	0.29415122	0.3133713	0.3417286	0.35115844	0.2657645	0.36377713	0.3534472	0.19829868	0.3559185	0.27538776	0.27370402	0.27797446	0.33314028	0.26133975	0.35308525	0.2957802	0.27350485	0.2354713	0.27023154	0.26071188	0.28959045	0.2540828	0.3155721	0.24134734	0.32950488	0.30465356	0.23733278	0.28438672	0.33036694	0.30265135	0.34909892	0.20475322	0.3535309	0.29821187	0.31669065	0.32392472	0.28929663	0.27198568	0.17802359	0.26644745	0.25018606	0.23552017	0.28418884	0.30027616	0.3308345	0.35431847	0.3210154	0.34761766	0.1970239	0.23800409	0.2670754	0.28385356	0.20622446	0.28908697	0.30223316	0.34432176	0.25565806	0.3152404	0.326347	0.34663853	0.3472265	0.32245424	0.25828376	0.30679932	0.2899863	0.33221018	0.2990977	0.3500687
Cherry Wine x C	0.26761153	0.2778404	0.36227095	0.31645024	0.3639778	0.2880224	0.28028423	0.24682863	0.36499667	0.30141324	0.3339185	0.30978593	0.3167939	0.26852491	0.24914491	0.2720001	0.3094778	0.2658096	0.24911647	0.28218165	0.27901506	0.36679125	0.34209928	0.35846308	0.2268431	0.25671285	0.3649326	0.25675264	0.34844273	0.306873	0.29512736	0.35761735	0.26526967	0.33880207	0.27899945	0.26707318	0.3443994	0.3451572	0.2819354	0.32849154	0.36182895	0.35049018	0.26783893	0.28184566	0.2560457	0.3605802	0.33707938	0.36720282	0.2799801	0.3562818	0.33645776	0.23398587	0.24607147	0.32991824	0.2742365	0.32264298	0.33934993	0.374403	0.30577523	0.23863134	0	0.22900689	0.31947044	0.2736147	0.35265008	0.28072017	0.2385486	0.30905095	0.27917194	0.29650328	0.32475057	0.24752858	0.33434275	0.2502852	0.27114615	0.2351123	0.27333748	0.3331446	0.30554056	0.32920188	0.28033122	0.2978753	0.24832818	0.35219368	0.2472482	0.31455573	0.27477345	0.34737045	0.27970654	0.35452127	0.32793766	0.34515727	0.35452527	0.33666453	0.27615985	0.3424568	0.26508597	0.24761555	0.2828518	0.32207185	0.2361321	0.32388407	0.2525589	0.3626706	0.25267494	0.21653871	0.3387776	0.33976465	0.27844623	0.3565836	0.26660335	0.36157832	0.34230223	0.23641534	0.27690563	0.27961382	0.24359071	0.26563272	0.34891754	0.26991287	0.3533728	0.25081107	0.2973329	0.30957085	0.35175142	0.36436155	0.28604195	0.37246254	0.36150208	0.25317243	0.36775777	0.27662152	0.29053873	0.2852662	0.28788656	0.24119793	0.36756623	0.28379205	0.28437468	0.23604093	0.29090863	0.25072694	0.30845636	0.25402847	0.29827428	0.25367466	0.34452447	0.27376214	0.25363642	0.27053326	0.32919648	0.26611695	0.35833037	0.24100675	0.36381897	0.30889288	0.27777916	0.32147038	0.25040704	0.26774558	0.2238284	0.27247858	0.2538947	0.2579812	0.27509478	0.3020787	0.2935782	0.36410743	0.33795545	0.35743225	0.24707933	0.25428277	0.26115605	0.2821009	0.23498881	0.28671494	0.31260446	0.35604906	0.28175274	0.30748084	0.26705834	0.35946622	0.3575469	0.26082858	0.26741907	0.27285612	0.29341316	0.286785	0.25362283	0.35989165
Dead Lights	0.2742065	0.2556647	0.3566281	0.31634846	0.35150295	0.26244926	0.2548854	0.20626616	0.35759932	0.28065485	0.32341054	0.32200673	0.31712896	0.24795961	0.272904	0.25176278	0.31104928	0.31690478	0.22921188	0.25012097	0.3159997	0.3586954	0.32612488	0.354497	0.21380647	0.2540406	0.36030245	0.22865258	0.345644	0.3117812	0.28794426	0.3506639	0.24765266	0.32708538	0.27655187	0.316215	0.32786575	0.34644616	0.28115103	0.32685634	0.35512882	0.34061623	0.26571164	0.24949715	0.24499579	0.3524908	0.32943586	0.36087787	0.27048194	0.3493162	0.3323551	0.2746751	0.27628738	0.31673095	0.25319782	0.32241642	0.3280077	0.3670225	0.31266308	0.21205013	0.22900689	0	0.32601404	0.25508302	0.3483078	0.29576796	0.28569314	0.3125782	0.2741916	0.2711965	0.32821298	0.23430212	0.31630453	0.25447315	0.25163627	0.24238195	0.28232223	0.32915252	0.3087489	0.30266076	0.25200534	0.26942226	0.28022635	0.33866504	0.2234783	0.31607714	0.31588364	0.33920494	0.25177786	0.33890328	0.2984957	0.33470798	0.34497377	0.32214147	0.238844	0.32882616	0.25075293	0.21729672	0.25024003	0.3010875	0.22407646	0.29824603	0.26362655	0.35632566	0.21625413	0.24497099	0.3255244	0.3305269	0.25394458	0.3415557	0.23216309	0.35706174	0.33135656	0.23912673	0.26169977	0.2854706	0.21748583	0.23274827	0.34433872	0.28204125	0.34292752	0.2109914	0.26883817	0.31424537	0.34160644	0.35633376	0.26236227	0.36942512	0.35816795	0.22763625	0.36085066	0.23864286	0.27811018	0.24985875	0.32275438	0.24704204	0.355806	0.2889394	0.27358922	0.20735736	0.26692477	0.25758827	0.27784792	0.2429276	0.30066442	0.22486673	0.33237037	0.2867745	0.22131707	0.282693	0.3243363	0.29453915	0.35339862	0.19876257	0.35649258	0.30169177	0.31224656	0.31340364	0.28323475	0.2562044	0.21231122	0.25132492	0.2336538	0.23384616	0.27565795	0.2902384	0.3153112	0.35804597	0.3239212	0.35292876	0.22461629	0.24260245	0.2558256	0.2501549	0.19510601	0.26449108	0.29937392	0.34419048	0.2619801	0.31654426	0.32532793	0.34753126	0.34815	0.3184916	0.25403187	0.3020144	0.27133337	0.32195774	0.29042777	0.34902334
SC-1	0.3289437	0.32614553	0.340661	0.27586296	0.34058285	0.32863238	0.3170039	0.32277894	0.340661	0.3197184	0.319612	0.31494766	0.27177286	0.3272273	0.32860953	0.32228494	0.28927106	0.3305445	0.32304913	0.32022443	0.3302728	0.3400524	0.33037832	0.33732012	0.32211608	0.3219105	0.34142888	0.32868105	0.3012208	0.2691992	0.33089033	0.33548388	0.32049116	0.295246	0.33125687	0.3250695	0.32258388	0.30812207	0.3218642	0.28300968	0.34497884	0.33938554	0.3216586	0.32498226	0.32920387	0.34490272	0.31154174	0.34377366	0.32067874	0.33817273	0.32861805	0.3266698	0.32258952	0.3100952	0.32648462	0.26625958	0.29563472	0.33730486	0.28360543	0.32332373	0.31947044	0.32601404	0	0.3233943	0.3327861	0.3254884	0.32025665	0.2859842	0.33007812	0.31680396	0.29376552	0.32311177	0.32670477	0.31898913	0.3270187	0.3263093	0.3189449	0.29448053	0.279947	0.30792394	0.31944546	0.31150064	0.32493556	0.31476772	0.32475576	0.27175242	0.32536075	0.30399504	0.31844145	0.33502167	0.3214932	0.31130078	0.3145907	0.3170482	0.32330522	0.3289995	0.31789526	0.32315946	0.31399536	0.32132307	0.3201827	0.32903695	0.32362327	0.33971316	0.32047784	0.32279295	0.33123583	0.32854277	0.32178947	0.3247012	0.3274541	0.3386262	0.323536	0.3279224	0.3227409	0.32636937	0.3230721	0.32224575	0.33205265	0.32796013	0.33387047	0.3209964	0.314292	0.28653282	0.33485326	0.33817416	0.31989846	0.3336231	0.34359065	0.32230407	0.34605926	0.32080266	0.30641508	0.31573117	0.33064204	0.32443735	0.34111744	0.33393753	0.3216099	0.32248187	0.31905943	0.32832778	0.31048745	0.32929602	0.3263909	0.32234433	0.32737482	0.32602552	0.32735232	0.32452172	0.3364369	0.33048868	0.31810167	0.3184111	0.33973622	0.27993992	0.29463518	0.2973663	0.32550693	0.3299569	0.3230666	0.3323498	0.32234648	0.32531604	0.32360077	0.30472544	0.32165858	0.34615567	0.32719684	0.33578965	0.32150474	0.3216185	0.31564376	0.3185621	0.32447898	0.31907004	0.32230943	0.3352556	0.30066714	0.2686444	0.32589614	0.33979517	0.33728486	0.32152042	0.30225006	0.32974586	0.3161849	0.3313623	0.3264761	0.34188074
Cobbler	0.28175768	0.2789991	0.3430704	0.31684566	0.34278652	0.2939092	0.2903978	0.2739635	0.3485526	0.2992842	0.32436442	0.31035703	0.31485492	0.26872107	0.2790365	0.27074882	0.3150179	0.2920781	0.27209172	0.27950254	0.30880705	0.3468628	0.32859465	0.34385267	0.24949679	0.2689083	0.34437746	0.2660818	0.34067166	0.31236815	0.2541848	0.33245826	0.26914147	0.3240808	0.3186371	0.29195884	0.33267087	0.32838455	0.31536844	0.3252854	0.33944088	0.33740517	0.28166682	0.23216994	0.2746899	0.34585735	0.32297242	0.34335473	0.2758775	0.34314388	0.33065766	0.25858897	0.27986604	0.31654283	0.27039582	0.31974706	0.3281124	0.35484257	0.31154862	0.2491706	0.2736147	0.25508302	0.3233943	0	0.33308578	0.29747728	0.2672749	0.31542373	0.29003274	0.26067403	0.32386595	0.25467455	0.32089835	0.25166467	0.27591875	0.2853024	0.3022238	0.32010302	0.3080334	0.32442757	0.2795342	0.29270697	0.27989778	0.34187406	0.27728704	0.31279916	0.29558888	0.34015188	0.278469	0.3345383	0.3052826	0.33640984	0.3443048	0.3264299	0.268449	0.32429096	0.2536715	0.26828644	0.28700912	0.3155412	0.2403323	0.3069727	0.26150548	0.34097472	0.2716189	0.2825583	0.3311438	0.32760766	0.2526844	0.3382054	0.26928508	0.3397078	0.33215663	0.270723	0.26947796	0.2858678	0.26329106	0.2646055	0.3337795	0.30253083	0.3379773	0.26964968	0.2826492	0.3140943	0.3291701	0.34095454	0.26915634	0.35068262	0.34156856	0.25705567	0.34751844	0.27598247	0.26842913	0.28993505	0.31632516	0.29138872	0.34532365	0.30542532	0.27576733	0.2680081	0.2693722	0.26174527	0.29399672	0.28182888	0.2636208	0.26498976	0.3321511	0.27600327	0.26879486	0.30314842	0.32420653	0.2873501	0.34720182	0.25892273	0.3446653	0.2945575	0.3040728	0.32172924	0.29673567	0.28610876	0.2512705	0.28001267	0.26454258	0.2583992	0.28205612	0.2970685	0.31634694	0.344278	0.32408363	0.33091336	0.24571788	0.24413562	0.26716167	0.2801675	0.25690037	0.28338665	0.31103194	0.3377313	0.27523386	0.3097304	0.29741478	0.34283102	0.33466354	0.30764547	0.29170814	0.28713557	0.27983898	0.31518954	0.2967841	0.34452036
